container_id,warehouse_id,rack_number,quantity,arrival_date,shipment_date,is_damaged
1,C,4,233,4/30/2022,10/13/2023,true
2,A,55,656,9/23/2022,9/25/2023,true
3,C,26,66,8/13/2022,9/14/2023,false
4,C,34,879,7/10/2022,9/8/2023,true
5,D,18,153,8/25/2022,10/5/2023,false
6,D,61,505,7/14/2022,9/22/2023,true
7,C,26,179,8/21/2022,10/25/2023,false
8,C,11,334,4/6/2022,10/21/2023,false
9,E,30,63,5/12/2022,9/5/2023,false
10,E,19,656,5/26/2022,9/16/2023,true
11,D,12,958,4/1/2022,9/10/2023,true
12,A,6,965,2/23/2022,9/30/2023,false
13,A,95,254,5/12/2022,9/4/2023,false
14,D,7,125,5/16/2022,10/23/2023,true
15,B,2,110,5/29/2022,10/13/2023,true
16,B,37,443,8/5/2022,9/11/2023,false
17,B,50,158,10/13/2022,10/25/2023,false
18,E,80,154,7/2/2022,9/29/2023,true
19,D,48,340,7/21/2022,10/1/2023,false
20,C,41,382,12/14/2022,8/30/2023,false
21,C,87,695,6/13/2022,10/23/2023,true
22,B,66,213,7/12/2022,8/16/2023,true
23,B,71,195,6/22/2022,9/12/2023,false
24,B,36,647,8/6/2022,10/28/2023,false
25,E,95,839,7/1/2022,9/4/2023,false
26,C,43,839,1/14/2022,9/8/2023,false
27,D,13,665,4/6/2022,9/14/2023,false
28,B,76,902,2/15/2022,8/23/2023,false
29,B,40,632,3/3/2022,9/24/2023,false
30,E,87,779,6/22/2022,10/27/2023,false
31,A,73,527,10/4/2022,9/3/2023,true
32,A,51,39,12/5/2022,9/25/2023,false
33,B,83,854,3/27/2022,9/27/2023,true
34,C,67,902,8/20/2022,9/25/2023,true
35,A,91,766,2/18/2022,9/8/2023,true
36,B,82,258,8/19/2022,10/30/2023,true
37,E,77,291,3/22/2022,9/21/2023,true
38,B,89,119,6/27/2022,9/6/2023,false
39,D,48,673,2/20/2022,9/15/2023,true
40,E,96,108,8/4/2022,9/4/2023,false
41,D,71,669,1/22/2022,10/10/2023,true
42,A,26,175,6/21/2022,9/9/2023,false
43,C,99,347,11/22/2022,9/15/2023,true
44,E,50,157,8/6/2022,10/17/2023,true
45,A,67,479,8/27/2022,9/28/2023,false
46,C,23,424,9/7/2022,9/18/2023,true
47,B,50,64,5/20/2022,10/26/2023,false
48,C,71,730,10/11/2022,9/6/2023,false
49,E,57,518,4/23/2022,9/25/2023,true
50,E,61,780,11/8/2022,9/17/2023,false
51,C,77,143,3/4/2022,9/6/2023,true
52,A,98,646,2/18/2022,10/29/2023,false
53,D,68,814,5/11/2022,10/11/2023,true
54,A,99,635,2/7/2022,8/16/2023,false
55,B,44,988,9/20/2022,8/20/2023,false
56,D,33,997,12/1/2022,10/19/2023,true
57,D,54,501,5/6/2022,9/2/2023,false
58,B,50,769,10/29/2022,9/5/2023,false
59,B,91,364,12/19/2022,10/29/2023,false
60,E,88,762,2/11/2022,8/22/2023,false
61,C,63,717,2/4/2022,9/30/2023,true
62,E,37,51,4/4/2022,9/23/2023,true
63,A,74,204,10/15/2022,10/9/2023,false
64,C,37,110,7/3/2022,9/6/2023,true
65,A,43,5,12/19/2022,10/15/2023,false
66,C,20,550,6/3/2022,10/26/2023,true
67,A,43,820,3/2/2022,8/17/2023,true
68,B,83,112,3/15/2022,10/25/2023,true
69,A,75,544,10/31/2022,10/26/2023,false
70,C,54,226,2/14/2022,10/1/2023,true
71,C,59,2,3/5/2022,9/15/2023,true
72,E,97,960,10/15/2022,9/24/2023,true
73,C,32,126,7/20/2022,8/18/2023,true
74,A,58,609,11/24/2022,9/10/2023,false
75,C,27,613,10/10/2022,9/11/2023,true
76,E,47,943,9/6/2022,10/1/2023,false
77,E,50,478,6/20/2022,10/4/2023,true
78,B,98,106,2/14/2022,8/16/2023,false
79,B,93,575,5/29/2022,8/20/2023,false
80,E,4,58,10/2/2022,9/12/2023,true
81,C,43,336,2/13/2022,8/31/2023,true
82,B,94,656,9/14/2022,10/21/2023,true
83,A,74,86,5/13/2022,9/17/2023,true
84,E,62,322,11/26/2022,9/16/2023,true
85,D,18,989,9/16/2022,8/19/2023,false
86,A,42,681,7/9/2022,9/17/2023,false
87,D,5,183,7/10/2022,9/27/2023,false
88,B,40,629,9/8/2022,8/17/2023,false
89,D,99,173,5/3/2022,8/20/2023,false
90,B,65,358,9/16/2022,8/22/2023,false
91,E,24,928,1/12/2022,8/27/2023,true
92,C,42,116,11/18/2022,10/12/2023,true
93,E,20,276,5/22/2022,9/15/2023,true
94,B,37,221,8/18/2022,8/27/2023,false
95,D,29,96,4/4/2022,8/29/2023,true
96,B,26,666,8/11/2022,8/28/2023,true
97,E,43,754,1/6/2022,10/25/2023,true
98,B,56,444,1/10/2022,8/30/2023,false
99,D,94,604,11/13/2022,10/19/2023,false
100,B,68,664,8/10/2022,10/28/2023,true
101,E,91,854,10/16/2022,10/29/2023,true
102,A,90,776,1/5/2022,8/23/2023,false
103,A,69,877,8/22/2022,8/26/2023,true
104,B,99,427,7/12/2022,8/19/2023,false
105,E,92,748,9/5/2022,8/28/2023,false
106,E,40,166,3/22/2022,9/12/2023,false
107,B,89,14,4/2/2022,10/20/2023,true
108,C,95,957,12/1/2022,9/17/2023,false
109,E,86,672,8/20/2022,9/14/2023,false
110,E,73,68,10/30/2022,9/26/2023,true
111,B,90,339,3/13/2022,8/31/2023,false
112,B,81,395,4/1/2022,9/3/2023,true
113,D,93,559,3/3/2022,9/7/2023,false
114,E,42,960,10/30/2022,8/24/2023,false
115,C,29,901,10/11/2022,10/16/2023,true
116,C,35,755,10/5/2022,8/23/2023,false
117,B,75,797,9/21/2022,8/23/2023,true
118,A,37,604,3/10/2022,10/7/2023,true
119,D,100,963,5/13/2022,8/25/2023,true
120,A,34,114,9/11/2022,10/4/2023,true
121,D,57,697,4/19/2022,9/15/2023,true
122,C,45,396,8/28/2022,8/16/2023,true
123,C,22,179,5/25/2022,8/27/2023,false
124,B,95,669,4/17/2022,8/27/2023,false
125,A,66,800,8/29/2022,10/1/2023,true
126,E,35,938,12/17/2022,10/19/2023,true
127,A,83,136,8/30/2022,9/6/2023,true
128,D,12,723,11/13/2022,10/21/2023,false
129,D,80,394,10/4/2022,9/17/2023,false
130,B,66,142,5/17/2022,9/17/2023,true
131,C,18,466,5/17/2022,9/24/2023,true
132,E,45,64,1/30/2022,10/15/2023,false
133,B,14,976,1/8/2022,9/14/2023,true
134,B,32,19,2/16/2022,9/26/2023,false
135,B,14,268,6/21/2022,10/22/2023,true
136,E,49,204,11/9/2022,9/28/2023,true
137,E,12,96,11/25/2022,9/14/2023,false
138,D,73,171,4/29/2022,9/23/2023,true
139,E,37,727,7/30/2022,8/19/2023,false
140,E,68,431,5/5/2022,10/10/2023,false
141,D,44,606,3/29/2022,10/10/2023,false
142,B,39,713,2/9/2022,9/26/2023,true
143,D,14,797,3/22/2022,10/17/2023,true
144,D,47,370,8/6/2022,8/19/2023,false
145,C,81,154,11/23/2022,10/2/2023,true
146,E,91,355,5/3/2022,9/18/2023,true
147,B,51,776,5/13/2022,8/23/2023,false
148,B,3,514,12/17/2022,9/9/2023,false
149,D,56,615,2/19/2022,10/18/2023,false
150,B,46,981,6/19/2022,8/24/2023,false
151,B,24,427,7/15/2022,9/23/2023,true
152,A,40,996,5/17/2022,10/22/2023,true
153,A,38,566,11/2/2022,9/1/2023,false
154,B,58,422,5/3/2022,8/23/2023,true
155,B,66,417,1/5/2022,9/8/2023,true
156,A,86,868,11/8/2022,8/21/2023,false
157,D,84,398,8/21/2022,9/5/2023,true
158,B,79,190,1/20/2022,10/17/2023,false
159,A,77,142,5/20/2022,9/6/2023,false
160,E,63,316,12/29/2022,9/2/2023,true
161,B,77,916,9/20/2022,9/11/2023,true
162,D,79,442,8/7/2022,10/13/2023,false
163,D,40,757,10/22/2022,8/22/2023,true
164,D,7,489,1/3/2022,9/5/2023,false
165,A,4,866,8/24/2022,9/27/2023,false
166,E,64,47,1/7/2022,10/13/2023,false
167,D,1,991,2/28/2022,8/26/2023,false
168,A,44,583,4/9/2022,8/28/2023,false
169,B,87,472,12/7/2022,9/29/2023,false
170,A,16,650,12/5/2022,10/17/2023,true
171,E,59,444,5/12/2022,9/26/2023,false
172,E,15,814,1/8/2022,8/19/2023,false
173,E,69,181,11/24/2022,9/12/2023,true
174,B,28,965,5/3/2022,9/9/2023,true
175,D,31,950,8/24/2022,8/30/2023,false
176,A,20,936,7/9/2022,10/8/2023,false
177,B,92,277,10/26/2022,10/8/2023,true
178,C,7,565,11/19/2022,10/19/2023,true
179,B,46,900,8/6/2022,8/20/2023,false
180,C,51,350,2/6/2022,9/15/2023,true
181,C,76,16,11/21/2022,9/16/2023,true
182,D,64,128,6/12/2022,9/10/2023,false
183,A,69,913,8/17/2022,8/31/2023,true
184,A,27,971,1/10/2022,10/26/2023,true
185,D,31,274,9/21/2022,9/18/2023,true
186,D,20,75,9/26/2022,10/20/2023,false
